"LG_ID","NAME","CM_FUND_TYPE_ID","GO_DEBT","REVENUE_DEBT","OTHER_DEBT","debt","housingunits","mhv","s4metric"
1009,"Federal Heights",1,0,0,0,0,4882.6,34000,0
2003,"Alamosa",1,0,9064587.6,0,9064587.6,3731.6,146000,0.0166379613137411
3033,"Deer Trail",2,0,0,242800,242800,274.6,119400,0.00740531987443896
3033,"Deer Trail",3,0,654530,0,654530,274.6,119400,0.0199629490008918
3041,"Englewood",2,8819000,0,4427292.2,13246292.2,15534,223400,0.00381705010950652
3041,"Englewood",3,0,0,42716145.2,42716145.2,15534,223400,0.0123090797222
3043,"Glendale",2,0,0,1220248.6,1220248.6,2716.2,119100,0.00377202716468549
3043,"Glendale",3,0,0,7260043.4,7260043.4,2716.2,119100,0.0224422145795501
5003,"Campo",1,0,0,142250,142250,75,32500,0.0583589743589744
5003,"Campo",2,0,0,137052.5,137052.5,75,32500,0.0562266666666667
5006,"Pritchett",2,0,0,156666.6,156666.6,76,70000,0.0294486090225564
5006,"Pritchett",3,0,0,58600,58600,76,70000,0.011015037593985
5011,"Springfield",2,0,0,167621,167621,828.8,61600,0.00328320478990122
5011,"Springfield",3,0,0,487110.2,487110.2,828.8,61600,0.00954106312365241
5016,"Two Buttes",1,0,0,0,0,37,30800,0
5019,"Vilas",1,0,206549.5,0,206549.5,60,52900,0.065075456836799
5019,"Vilas",2,0,197192.666666667,0,197192.666666667,60,52900,0.0621274942239025
5023,"Walsh",1,0,514994.4,0,514994.4,350,66500,0.0221265048335124
6005,"Las Animas",2,0,900060,703733.2,1603793.2,1214,50000,0.0264216342668863
6005,"Las Animas",3,0,0,987256,987256,1214,50000,0.0162645140032949
7006,"Boulder",2,0,32783000,0,32783000,44221,512600,0.00144624387441848
7006,"Boulder",3,0,44131400,0,44131400,44221,512600,0.0019468860970476
7018,"Jamestown",2,0,0,7750.2,7750.2,138.2,303800,0.000184593794569319
7020,"Lafayette",2,192000,14890000,88787.2,15170787.2,10348.6,281700,0.00520402853097637
7020,"Lafayette",3,0,0,4832005.6,4832005.6,10348.6,281700,0.00165752077810686
7029,"Louisville",1,0,3216000,6225118.4,9441118.4,8048.2,407500,0.00287870439497732
7032,"Lyons",1,0,0,7744479,7744479,892.4,362500,0.0239400268937696
7032,"Lyons",2,0,0,3099511.75,3099511.75,892.4,362500,0.00958132815035781
7032,"Lyons",3,0,0,0,0,892.4,362500,0
7033,"Nederland",2,0,0,2192946,2192946,750.8,350000,0.00834517847629196
7033,"Nederland",3,0,0,2985954.2,2985954.2,750.8,350000,0.0113629431463582
7042,"Ward",2,0,0,0,0,101,173400,0
8002,"Buena Vista",2,0,0,467855.6,467855.6,1408.8,202000,0.00164403522975807
8006,"Poncha Springs",2,0,174600,0,174600,369.4,207600,0.0022767743974763
8006,"Poncha Springs",3,0,0,0,0,369.4,207600,0
8007,"Salida",2,0,2744000,564855.8,3308855.8,2951.4,248400,0.00451334130356761
8007,"Salida",3,0,0,7197223,7197223,2951.4,248400,0.00981714701404841
9007,"Cheyenne Wells",2,0,0,0,0,430.2,77000,0
9013,"Kit Carson",1,0,0,229862.5,229862.5,146,63200,0.0249114032425871
9013,"Kit Carson",2,0,0,213675,213675,146,63200,0.023157079070574
10005,"Empire",2,0,77072,4399.4,81471.4,195.6,190600,0.0021853119092222
10005,"Empire",3,0,4195.2,0,4195.2,195.6,190600,0.000112528083739434
10007,"Georgetown",2,0,0,2063478.4,2063478.4,758.8,252000,0.0107912577084955
10007,"Georgetown",3,0,0,3368936,3368936,758.8,252000,0.0176183363874455
10008,"Idaho Springs",2,0,0,2399102.6,2399102.6,934,166700,0.0154087122618303
10008,"Idaho Springs",3,0,0,411708.6,411708.6,934,166700,0.00264428013754851
10009,"Silver Plume",2,0,379732.6,0,379732.6,145,176900,0.0148041012845753
10009,"Silver Plume",3,0,10620,96551.4,107171.4,145,176900,0.0041781407769829
11001,"Antonito",1,0,627,4758.2,5385.2,407,81900,0.000161556161556162
11009,"La Jara",1,0,0,631250,631250,355.2,104100,0.0170717367223131
11010,"Manassa",2,0,0,382432,382432,425,86600,0.0103907621247113
11010,"Manassa",3,0,0,563300,563300,425,86600,0.0153049857356337
11013,"Romeo",1,0,0,145455.8,145455.8,156,66300,0.0140634837761535
11016,"Sanford",1,0,0,0,0,350,104900,0
12001,"Blanca",1,0,0,178949.4,178949.4,167,78100,0.0137202726429344
13002,"Crowley",2,49080,0,39140,88220,88,62900,0.0159379968203498
13002,"Crowley",3,39600,0,1136952.4,1176552.4,88,62900,0.212558245411187
13004,"Olney Springs",1,59000,0,373171,432171,161,55600,0.0482786317529827
13004,"Olney Springs",2,42500,0,520927,563427,161,55600,0.0629414853210599
13004,"Olney Springs",3,0,0,153425,153425,161,55600,0.0171393940748023
13006,"Ordway",2,0,35200,514337.6,549537.6,540.8,63600,0.0159773082505303
13006,"Ordway",3,0,0,531137.2,531137.2,540.8,63600,0.0154423332775111
13007,"Sugar City",2,0,184649.4,118565.8,303215.2,151,49400,0.0406487385044374
13007,"Sugar City",3,0,0,277419.2,277419.2,151,49400,0.0371905515188889
15003,"Cedaredge",2,0,2199746.4,131998,2331744.4,1181.8,167000,0.0118146398014599
15003,"Cedaredge",3,0,0,0,0,1181.8,167000,0
15005,"Crawford",2,0,0,0,0,212,146900,0
15005,"Crawford",3,0,0,0,0,212,146900,0
15015,"Delta",2,0,0,0,0,3857,161600,0
15015,"Delta",3,0,1622694.4,810135.6,2432830,3857,161600,0.00390319966012676
15020,"Hotchkiss",2,0,0,556296.8,556296.8,471,166900,0.0070766760929603
15020,"Hotchkiss",3,0,0,515157.2,515157.2,471,166900,0.00655333742950951
15022,"Orchard City",2,0,0,0,0,1422.8,178700,0
15025,"Paonia",2,0,0,845069,845069,788.8,155700,0.00688076389947382
15025,"Paonia",3,0,0,1777557.2,1777557.2,788.8,155700,0.0144733168664449
16002,"Denver",2,10450800,390211000,23637600,424299400,289289.6,271300,0.00540617130308252
16002,"Denver",3,0,36012000,7062600,43074600,289289.6,271300,0.000548831005680796
17003,"Dove Creek",2,35000,0,64935.6,99935.6,360,86900,0.00319446362357755
17003,"Dove Creek",3,0,0,0,0,360,86900,0
17007,"Rico",2,12900,0,18074.2,30974.2,210.4,260000,0.000566214536414156
17007,"Rico",3,0,0,0,0,210.4,260000,0
18003,"Castle Rock",2,0,16988820.4,68872000,85860820.4,18300.2,296600,0.0158186002455209
18003,"Castle Rock",3,0,2986369.6,0,2986369.6,18300.2,296600,0.000550194916234182
18021,"Larkspur",1,0,0,591143.25,591143.25,90,NA,NA
18021,"Larkspur",2,0,0,107303,107303,90,NA,NA
18021,"Larkspur",3,0,0,0,0,90,NA,NA
19003,"Avon",2,0,0,0,0,3628,332400,0
19009,"Eagle",2,0,2606413.8,76329.6,2682743.4,2425.2,399700,0.00276756243580508
19009,"Eagle",3,0,0,12391959,12391959,2425.2,399700,0.0127837497370925
19020,"Gypsum",2,0,0,817705,817705,2258,319600,0.00113309401366411
19020,"Gypsum",3,0,2560000,2466.6,2562466.6,2258,319600,0.00355081057921161
19024,"Minturn",1,0,0,561656.75,561656.75,535,527300,0.00199094576319852
19024,"Minturn",2,0,0,495495,495495,535,527300,0.00175641736867945
19026,"Red Cliff",1,0,479142,426832.8,905974.8,141.2,325000,0.0197423142296797
20004,"Elizabeth",1,0,0,5282351.4,5282351.4,531.6,177900,0.0558555545827481
20005,"Kiowa",2,0,2688427.2,0,2688427.2,322,131900,0.0632991114103947
