"LG_ID","NAME","GO_DEBT","REVENUE_DEBT","OTHER_DEBT","debt","housingunits","mhv","s4metric"
1009,"Federal Heights",0,0,0,0,4882.6,34000,0
2003,"Alamosa",0,9064587.6,0,9064587.6,3731.6,146000,0.0166379613137411
3033,"Deer Trail",0,654530,242800,897330,274.6,119400,0.0273682688753308
3041,"Englewood",8819000,0,47143437.4,55962437.4,15534,223400,0.0161261298317066
3043,"Glendale",0,0,8480292,8480292,2716.2,119100,0.0262142417442356
5003,"Campo",0,0,142250,142250,75,32500,0.0583589743589744
5006,"Pritchett",0,0,215266.6,215266.6,76,70000,0.0404636466165414
5011,"Springfield",0,0,654731.2,654731.2,828.8,61600,0.0128242679135536
5016,"Two Buttes",0,0,0,0,37,30800,0
5019,"Vilas",0,206549.5,0,206549.5,60,52900,0.065075456836799
5023,"Walsh",0,514994.4,0,514994.4,350,66500,0.0221265048335124
6005,"Las Animas",0,900060,1690989.2,2591049.2,1214,50000,0.0426861482701812
7006,"Boulder",0,76914400,0,76914400,44221,512600,0.00339312997146608
7020,"Lafayette",192000,14890000,4920792.8,20002792.8,10348.6,281700,0.00686154930908323
7029,"Louisville",0,3216000,6225118.4,9441118.4,8048.2,407500,0.00287870439497732
7032,"Lyons",0,0,4028505.2,4028505.2,892.4,362500,0.0124530678990402
7033,"Nederland",0,0,5178900.2,5178900.2,750.8,350000,0.0197081216226501
8006,"Poncha Springs",0,186666.666666667,0,186666.666666667,369.4,207600,0.00243412306717589
8007,"Salida",0,2744000,7762078.8,10506078.8,2951.4,248400,0.014330488317616
9013,"Kit Carson",0,0,229862.5,229862.5,146,63200,0.0249114032425871
10005,"Empire",0,81267.2,4399.4,85666.6,195.6,190600,0.00229783999296163
10007,"Georgetown",0,0,5432414.4,5432414.4,758.8,252000,0.028409594095941
10008,"Idaho Springs",0,0,2810811.2,2810811.2,934,166700,0.0180529923993788
10009,"Silver Plume",0,390352.6,96551.4,486904,145,176900,0.0189822420615583
11001,"Antonito",0,627,4758.2,5385.2,407,81900,0.000161556161556162
11009,"La Jara",0,0,631250,631250,355.2,104100,0.0170717367223131
11010,"Manassa",0,0,945732,945732,425,86600,0.0256957478603451
11013,"Romeo",0,0,145455.8,145455.8,156,66300,0.0140634837761535
11016,"Sanford",0,0,0,0,350,104900,0
12001,"Blanca",0,0,178949.4,178949.4,167,78100,0.0137202726429344
13002,"Crowley",88680,0,1176092.4,1264772.4,88,62900,0.228496242231536
13004,"Olney Springs",52400,0,493643.4,546043.4,161,55600,0.0609995308101345
13006,"Ordway",0,35200,1045474.8,1080674.8,540.8,63600,0.0314196415280414
13007,"Sugar City",0,184649.4,395985,580634.4,151,49400,0.0778392900233263
