"LG_ID","NAME","GO_DEBT","REVENUE_DEBT","OTHER_DEBT","debt","housingunits","mhv","s4metric"
3033,"Deer Trail",0,654530,242800,897330,274.6,119400,0.0273682688753308
3041,"Englewood",8819000,0,47143437.4,55962437.4,15534,223400,0.0161261298317066
3043,"Glendale",0,0,8480292,8480292,2716.2,119100,0.0262142417442356
5003,"Campo",0,0,137052.5,137052.5,75,32500,0.0562266666666667
5006,"Pritchett",0,0,215266.6,215266.6,76,70000,0.0404636466165414
5011,"Springfield",0,0,654731.2,654731.2,828.8,61600,0.0128242679135536
5019,"Vilas",0,197192.666666667,0,197192.666666667,60,52900,0.0621274942239025
6005,"Las Animas",0,900060,1690989.2,2591049.2,1214,50000,0.0426861482701812
7006,"Boulder",0,76914400,0,76914400,44221,512600,0.00339312997146608
7018,"Jamestown",0,0,7750.2,7750.2,138.2,303800,0.000184593794569319
7020,"Lafayette",192000,14890000,4920792.8,20002792.8,10348.6,281700,0.00686154930908323
7032,"Lyons",0,0,3099511.75,3099511.75,892.4,362500,0.00958132815035781
7033,"Nederland",0,0,5178900.2,5178900.2,750.8,350000,0.0197081216226501
7042,"Ward",0,0,0,0,101,173400,0
8002,"Buena Vista",0,0,467855.6,467855.6,1408.8,202000,0.00164403522975807
8006,"Poncha Springs",0,174600,0,174600,369.4,207600,0.0022767743974763
8007,"Salida",0,2744000,7762078.8,10506078.8,2951.4,248400,0.014330488317616
9007,"Cheyenne Wells",0,0,0,0,430.2,77000,0
9013,"Kit Carson",0,0,213675,213675,146,63200,0.023157079070574
10005,"Empire",0,81267.2,4399.4,85666.6,195.6,190600,0.00229783999296163
10007,"Georgetown",0,0,5432414.4,5432414.4,758.8,252000,0.028409594095941
10008,"Idaho Springs",0,0,2810811.2,2810811.2,934,166700,0.0180529923993788
10009,"Silver Plume",0,390352.6,96551.4,486904,145,176900,0.0189822420615583
11010,"Manassa",0,0,945732,945732,425,86600,0.0256957478603451
13002,"Crowley",88680,0,1176092.4,1264772.4,88,62900,0.228496242231536
