"LG_ID","NAME","CM_FUND_TYPE_ID","EXP_OPERATING","EXP_TRANSFER_OUT","DEPRECIATION","cost","housingunits","mhi","s5metric"
1009,"Federal Heights",1,2762622,185780.2,320629,3269031.2,4882.6,36800,0.0181936610750865
2003,"Alamosa",1,1337766.2,0,1285814.6,2623580.8,3731.6,27850,0.0252449293750708
3033,"Deer Trail",2,66665,14665.4,34106.6,115437,274.6,36111,0.0116413938789485
3033,"Deer Trail",3,77329,4341.8,54830.2,136501,274.6,36111,0.0137656202592786
3041,"Englewood",2,5677541.2,644120.4,1010959.2,7332620.8,15534,47046,0.0100335177050952
3041,"Englewood",3,9468879,1289614.6,88532.6,10847026.2,15534,47046,0.014842418883209
3043,"Glendale",2,1409064.6,0,196257.2,1605321.8,2716.2,37189,0.0158922671887583
3043,"Glendale",3,666989,0,178045.8,845034.8,2716.2,37189,0.00836562415423434
5003,"Campo",1,43856.5,0,0,43856.5,75,NA,NA
5003,"Campo",2,59459,0,35997.5,95456.5,75,NA,NA
5006,"Pritchett",2,27136,0,16622.8,43758.8,76,51875,0.0110992517438174
5006,"Pritchett",3,4855.4,210.4,7415,12480.8,76,51875,0.00316570703868104
5011,"Springfield",2,215714,12916.8,89535,318165.8,828.8,33029,0.0116227347770083
5011,"Springfield",3,95762,8332.8,54634,158728.8,828.8,33029,0.00579843196180354
5016,"Two Buttes",1,10601,6097,13115.6,29813.6,37,24375,0.0330573527373527
5019,"Vilas",1,20557.5,292,0,20849.5,60,32500,0.0106920512820513
5019,"Vilas",2,17741.3333333333,0,6385,24126.3333333333,60,32500,0.0123724786324786
5023,"Walsh",1,212143.2,0,45154.8,257298,350,34712,0.0211781845718237
6005,"Las Animas",2,522896,0,210989.2,733885.2,1214,29260,0.0206602285254847
6005,"Las Animas",3,296986.2,8910.8,151755.6,457652.6,1214,29260,0.0128837688800404
7006,"Boulder",2,12520800,926200,5372600,18819600,44221,58484,0.00727687241808314
7006,"Boulder",3,8623600,574400,3327800,12525800,44221,58484,0.00484328298871527
7018,"Jamestown",2,65498.6,0,13088.4,78587,138.2,55313,0.0102805287828773
7020,"Lafayette",2,3558533.6,888360.2,1522964.2,5969858,10348.6,70714,0.0081578740549204
7020,"Lafayette",3,1707809.2,311560.6,846786.8,2866156.6,10348.6,70714,0.00391663328750514
7029,"Louisville",1,4975140.4,38400,1437204,6450744.4,8048.2,91230,0.00878563990551687
7032,"Lyons",1,930028,753248,438357,2121633,892.4,85577,0.0277813689713449
7032,"Lyons",2,523499.75,0,240830.25,764330,892.4,85577,0.0100083915294813
7032,"Lyons",3,425827.25,0,144230.5,570057.75,892.4,85577,0.00746452599847602
7033,"Nederland",2,270923,0,162858.4,433781.4,750.8,60000,0.00962931539690996
7033,"Nederland",3,356981.4,0,103845.2,460826.6,750.8,60000,0.0102296794530279
7042,"Ward",2,21884.8,2345.2,0,24230,101,61250,0.00391675085875934
8002,"Buena Vista",2,452372.8,0,160920.8,613293.6,1408.8,43429,0.0100239585078514
8006,"Poncha Springs",2,179711.2,0,52061,231772.2,369.4,39643,0.015826975846053
8006,"Poncha Springs",3,31557.6666666667,71266,6341.33333333333,109165,369.4,39643,0.00745452568614517
8007,"Salida",2,730794.8,0,384256.4,1115051.2,2951.4,40801,0.00925967894750808
8007,"Salida",3,771791.8,0,455209.8,1227001.6,2951.4,40801,0.0101893445646969
9007,"Cheyenne Wells",2,250536,0,83496.8,334032.8,430.2,43750,0.0177476416284784
9013,"Kit Carson",1,109323,0,49048.25,158371.25,146,45000,0.0241052130898021
9013,"Kit Carson",2,124862,0,73061,197923,146,45000,0.0301252663622527
10005,"Empire",2,67688.8,0,24430.8,92119.6,195.6,41250,0.0114171903079879
10005,"Empire",3,94191.8,0,21703.8,115895.6,195.6,41250,0.0143639586044494
10007,"Georgetown",2,448657,0,169848.2,618505.2,758.8,62375,0.0130678901292305
10007,"Georgetown",3,380982.6,64056.2,235157,680195.8,758.8,62375,0.0143713003233668
10008,"Idaho Springs",2,355551.2,0,300444,655995.2,934,46480,0.0151108072547148
10008,"Idaho Springs",3,397871.6,0,204414,602285.6,934,46480,0.0138736100719796
10009,"Silver Plume",2,65580.8,1000,83623,150203.8,145,42000,0.0246640065681445
10009,"Silver Plume",3,103008.8,0,24671.8,127680.6,145,42000,0.0209656157635468
11001,"Antonito",1,200568.6,0,38366,238934.6,407,21087,0.0278400388515625
11009,"La Jara",1,208218.4,0,88276.4,296494.8,355.2,28000,0.0298116554054054
11010,"Manassa",2,73550,0,28965.4,102515.4,425,33375,0.00722734699272968
11010,"Manassa",3,83702.4,2803.6,73563.4,160069.4,425,33375,0.0112849103326724
11013,"Romeo",1,72591.8,0,57665.6,130257.4,156,20833,0.0400798412774604
11016,"Sanford",1,113035.8,0,30965.2,144001,350,56250,0.00731433650793651
12001,"Blanca",1,104625.8,0,29981.2,134607,167,30250,0.0266456178551987
13002,"Crowley",2,32545.6,0,6650.2,39195.8,88,27344,0.0162890147082292
13002,"Crowley",3,129980.4,0,60043.4,190023.8,88,27344,0.0789702078568009
13004,"Olney Springs",1,122022.666666667,0,40466.3333333333,162489,161,31458,0.0320824097909902
13004,"Olney Springs",2,107786.5,0,40373,148159.5,161,31458,0.0292531420184025
13004,"Olney Springs",3,18675,0,1952,20627,161,31458,0.00407266871455147
13006,"Ordway",2,211397,3083.6,45647.6,260128.2,540.8,27589,0.0174347126384519
13006,"Ordway",3,54452.4,1643.8,51763.2,107859.4,540.8,27589,0.00722911873589959
13007,"Sugar City",2,63814,46400,30709,140923,151,32500,0.0287158430973001
13007,"Sugar City",3,15292.2,0,31217,46509.2,151,32500,0.00947716760061131
15003,"Cedaredge",2,346578.6,119037,245516.2,711131.8,1181.8,33030,0.0182178675498569
15003,"Cedaredge",3,243489.4,111463,42597.6,397550,1181.8,33030,0.0101844879450555
15005,"Crawford",2,66974.4,0,46036,113010.4,212,35192,0.0151474177235821
15005,"Crawford",3,80643.2,0,41252.4,121895.6,212,35192,0.0163383509116566
15015,"Delta",2,1418919.8,258611.2,253527.8,1931058.8,3857,42314,0.0118320985291771
15015,"Delta",3,711558.8,211034.4,285035.2,1207628.4,3857,42314,0.00739945268131269
15020,"Hotchkiss",2,123761.8,94209,115036,333006.8,471,31818,0.022220780903704
15020,"Hotchkiss",3,66027.6,81522.8,58151.4,205701.8,471,31818,0.0137260098871781
15022,"Orchard City",2,505005.2,3000,162638.4,670643.6,1422.8,40288,0.0116996324802719
15025,"Paonia",2,358864.4,80185.2,141772.4,580822,788.8,40759,0.0180656102185174
15025,"Paonia",3,204110.4,29887,112511.2,346508.6,788.8,40759,0.0107776380801074
16002,"Denver",2,166372000,0,45044600,211416600,289289.6,53637,0.0136251654354725
16002,"Denver",3,80595200,436200,16260800,97292200,289289.6,53637,0.00627019032838992
17003,"Dove Creek",2,163692.8,13640,41002.6,218335.4,360,36688,0.0165309426030915
17003,"Dove Creek",3,69837.6,0,20084.2,89921.8,360,36688,0.0068082963851335
17007,"Rico",2,104102.8,0,37632.4,141735.2,210.4,31458,0.021414151816158
17007,"Rico",3,25289,0,0,25289,210.4,31458,0.00382080446691309
18003,"Castle Rock",2,9506334.8,32530.8,5893699.2,15432564.8,18300.2,88294,0.00955104917112668
18003,"Castle Rock",3,5040302.2,710.6,1943208,6984220.8,18300.2,88294,0.00432245949699856
18021,"Larkspur",1,134745.75,0,80657,215402.75,90,44688,0.053557194076461
18021,"Larkspur",2,87723,0,57886,145609,90,44688,0.0362038528861837
18021,"Larkspur",3,56705,0,18127,74832,90,44688,0.0186060389067908
19003,"Avon",2,120625,409839.8,0,530464.8,3628,48022,0.00304473184079495
19009,"Eagle",2,895856,50000,304797.2,1250653.2,2425.2,78066,0.00660583028661484
19009,"Eagle",3,637234.4,0,735263.4,1372497.8,2425.2,78066,0.00724940178104708
19020,"Gypsum",2,790532,82716,458435,1331683,2258,88698,0.006649103462529
19020,"Gypsum",3,487425,2402.4,396525.2,886352.6,2258,88698,0.00442556534977287
19024,"Minturn",1,856321.75,19646.5,87606.5,963574.75,535,63947,0.0281651101547441
19024,"Minturn",2,609350,31399,90393,731142,535,63947,0.0213711442405064
19026,"Red Cliff",1,257030.8,0,144364.8,401395.6,141.2,68125,0.0417283675962263
20004,"Elizabeth",1,542509.4,0,368405.4,910914.8,531.6,53542,0.0320035530287974
20005,"Kiowa",2,191862,26000,71824,289686,322,58750,0.015313122769922
20005,"Kiowa",3,196550,0,76695.6,273245.6,322,58750,0.0144440650191622
20006,"Simla",2,82933,0,25175.4,108108.4,266,41953,0.00968756838345237
20006,"Simla",3,81282.6,0,7885.6,89168.2,266,41953,0.00799034150102451
21006,"Calhan",2,163172.4,17030.4,51597.6,231800.4,349.4,45179,0.0146843479425281
21006,"Calhan",3,116464.2,8300,21147.6,145911.8,349.4,45179,0.00924338197915351
21026,"Fountain",2,4888851.4,271457.6,873258.8,6033567.8,9663.2,57057,0.0109431989761487
21030,"Manitou Springs",2,741190.8,93003.4,412673.6,1246867.8,2848.2,49139,0.00890889034173738
21030,"Manitou Springs",3,658694,40794.8,139358.2,838847,2848.2,49139,0.00599357521021505
21032,"Monument",2,952411.6,0,285164.4,1237576,1921.2,93341,0.00690123555769398
21034,"Palmer Lake",2,525139.4,0,173882.8,699022.2,1099.2,58621,0.0108482835003537
21036,"Ramah",2,30325.2,0,8299,38624.2,68,31250,0.0181760941176471
21036,"Ramah",3,7752.2,0,8716.4,16468.6,68,31250,0.0077499294117647
22001,"Brookside",2,38816.2,4105.6,15289.4,58211.2,103.2,47679,0.0118304078421082
22002,"Canon City",2,3651973.6,362209,1373051.2,5387233.8,7313,38323,0.0192225390249223
22006,"Coal Creek",2,123445.4,325.2,4784.8,128555.4,160,40625,0.0197777538461538
22011,"Florence",2,1173299.2,284015,1079609,2536923.2,1747,36220,0.0400927613702057
22018,"Rockvale",2,125443.6,1200,13636.8,140280.4,231.8,36923,0.0163902879571896
22019,"Williamsburg",2,139653,0,12000.8,151653.8,281.2,47417,0.0113737560017653
23004,"Carbondale (was 12030 prior to 1990)",2,762110.2,157699.8,271847.4,1191657.4,2476.4,62770,0.00766617078700711
23004,"Carbondale (was 12030 prior to 1990)",3,850926.6,172253.2,284710.6,1307890.4,2476.4,62770,0.00841392096175213
23008,"Glenwood Springs",1,2569542.8,6073482.6,1258301.6,9901327,4139.8,49538,0.0482809241843155
23012,"New Castle",1,1235366.2,0,744415.6,1979781.8,1721.6,66818,0.0172104252482552
23013,"Parachute",2,314834.8,300,76495.6,391630.4,538.8,32917,0.0220814994876204
23013,"Parachute",3,248121.8,300,29266.6,277688.4,538.8,32917,0.0156570487437087
23017,"Rifle",2,1856351.8,41936.4,872298,2770586.2,3633.2,54175,0.0140761355780544
23017,"Rifle",3,1227316.4,75043.4,1054528.8,2356888.6,3633.2,54175,0.0119743191805297
23019,"Silt",1,963332.6,68655.4,306910.6,1338898.6,1085.2,56268,0.0219268589836156
24001,"Black Hawk",2,2358507,0,987138,3345645,70,38500,1.241426716141
25006,"Fraser",2,447418.4,8000,394984.2,850402.6,1104.8,45938,0.0167559413028718
25006,"Fraser",3,426222.8,10000,433183.4,869406.2,1104.8,45938,0.0171303794879658
25008,"Granby",2,804819.4,0,291907,1096726.4,1616.6,50125,0.0135344726147023
25008,"Granby",3,548297.6,0,177688.4,725986,1616.6,50125,0.00895924237408458
25014,"Grand Lake",2,328201,0,96893.2,425094.2,943.8,51667,0.00871750010201316
25015,"Hot Sulphur Springs",2,211089.2,0,148846.8,359936,318.8,50250,0.0224683358614706
25015,"Hot Sulphur Springs",3,161542.2,0,35593.6,197135.8,318.8,50250,0.0123058359394995
25018,"Kremmling",2,297975.8,185084.6,252760.8,735821.2,697.6,58500,0.0180305908413707
26004,"Crested Butte",1,751072.4,63120,322543.6,1136736,1087.2,59659,0.01752565269125
26008,"Gunnison",2,511376.4,27570.4,93841.4,632788.2,2670.2,35871,0.00660649478447497
26008,"Gunnison",3,959384.4,54831.4,130899.6,1145115.4,2670.2,35871,0.0119553413254577
26010,"Marble",2,333.333333333333,0,0,333.333333333333,105,64167,4.94740781804226e-05
27005,"Lake City",1,413640.4,0,84037.8,497678.2,453.8,44821,0.0244682316906065
28007,"La Veta",2,195891.2,0,96381.6,292272.8,567.4,29792,0.0172901758146815
28007,"La Veta",3,107993.2,0,24161.4,132154.6,567.4,29792,0.00781795729441434
28010,"Walsenburg",1,1188271.4,0,358300.2,1546571.6,1762,24928,0.0352108647251417
29006,"Walden",1,131249,153124.6,180206.6,464580.2,377.8,44276,0.027773484109327
30020,"Edgewater",1,1348077,9862.2,61198.4,1419137.6,2438.4,44148,0.0131828261036547
30035,"Golden",2,3569204.8,238780,1306118.6,5114103.4,7852,58998,0.0110395640651072
30035,"Golden",3,1461783.2,0,229558.4,1691341.6,7852,58998,0.00365101611930273
30055,"Lakewood",2,886579.2,122450.4,52720,1061749.6,66285,56954,0.000281243578065031
30055,"Lakewood",3,3250985.4,0,397652.2,3648637.6,66285,56954,0.000966476364753618
30065,"Morrison",1,513451.2,0,224118,737569.2,141,59583,0.0877932838904143
30067,"Mountain View",3,51728,7194,0,58922,279.2,45714,0.00461650002074691
31002,"Eads",2,165468,0,54208.8,219676.8,352,36150,0.0172636740852508
31002,"Eads",3,39063.2,20000,34879,93942.2,352,36150,0.00738260719225449
31003,"Haswell",2,20565.6,0,15665.8,36231.4,41,42500,0.020792769010043
