"LG_ID","NAME","EXP_OPERATING","EXP_TRANSFER_OUT","DEPRECIATION","cost","housingunits","mhi","s5metric"
1009,"Federal Heights",2762622,185780.2,320629,3269031.2,4882.6,36800,0.0181936610750865
2003,"Alamosa",1337766.2,0,1285814.6,2623580.8,3731.6,27850,0.0252449293750708
3033,"Deer Trail",143994,19007.2,88936.8,251938,274.6,36111,0.0254070141382272
3041,"Englewood",15146420.2,1933735,1099491.8,18179647,15534,47046,0.0248759365883042
3043,"Glendale",2076053.6,0,374303,2450356.6,2716.2,37189,0.0242578913429927
5003,"Campo",43856.5,0,0,43856.5,75,NA,NA
5006,"Pritchett",31991.4,210.4,24037.8,56239.6,76,51875,0.0142649587824984
5011,"Springfield",311476,21249.6,144169,476894.6,828.8,33029,0.0174211667388118
5016,"Two Buttes",10601,6097,13115.6,29813.6,37,24375,0.0330573527373527
5019,"Vilas",20557.5,292,0,20849.5,60,32500,0.0106920512820513
5023,"Walsh",212143.2,0,45154.8,257298,350,34712,0.0211781845718237
6005,"Las Animas",819882.2,8910.8,362744.8,1191537.8,1214,29260,0.0335439974055252
7006,"Boulder",21144400,1500600,8700400,31345400,44221,58484,0.0121201554067984
7020,"Lafayette",5266342.8,1199920.8,2369751,8836014.6,10348.6,70714,0.0120745073424255
7029,"Louisville",4975140.4,38400,1437204,6450744.4,8048.2,91230,0.00878563990551687
7032,"Lyons",945467.2,150649.6,395720,1491836.8,892.4,85577,0.0195346078166348
7033,"Nederland",627904.4,0,266703.6,894608,750.8,60000,0.0198589948499378
8006,"Poncha Springs",201285.666666667,71266,63513.3333333333,336065,369.4,39643,0.0229487947118067
8007,"Salida",1502586.6,0,839466.2,2342052.8,2951.4,40801,0.019449023512205
9013,"Kit Carson",109323,0,49048.25,158371.25,146,45000,0.0241052130898021
10005,"Empire",161880.6,0,46134.6,208015.2,195.6,41250,0.0257811489124373
10007,"Georgetown",829639.6,64056.2,405005.2,1298701,758.8,62375,0.0274391904525973
10008,"Idaho Springs",753422.8,0,504858,1258280.8,934,46480,0.0289844173266944
10009,"Silver Plume",168589.6,1000,108294.8,277884.4,145,42000,0.0456296223316913
11001,"Antonito",200568.6,0,38366,238934.6,407,21087,0.0278400388515625
11009,"La Jara",208218.4,0,88276.4,296494.8,355.2,28000,0.0298116554054054
11010,"Manassa",157252.4,2803.6,102528.8,262584.8,425,33375,0.0185122573254021
11013,"Romeo",72591.8,0,57665.6,130257.4,156,20833,0.0400798412774604
11016,"Sanford",113035.8,0,30965.2,144001,350,56250,0.00731433650793651
12001,"Blanca",104625.8,0,29981.2,134607,167,30250,0.0266456178551987
13002,"Crowley",162526,0,66693.6,229219.6,88,27344,0.0952592225650301
13004,"Olney Springs",123798.2,0,41209.8,165008,161,31458,0.0325797701677757
13006,"Ordway",265849.4,4727.4,97410.8,367987.6,540.8,27589,0.0246638313743515
13007,"Sugar City",79106.2,46400,61926,187432.2,151,32500,0.0381930106979114
15003,"Cedaredge",590068,230500,288113.8,1108681.8,1181.8,33030,0.0284023554949123
15005,"Crawford",147617.6,0,87288.4,234906,212,35192,0.0314857686352387
15015,"Delta",2130478.6,469645.6,538563,3138687.2,3857,42314,0.0192315512104898
15020,"Hotchkiss",189789.4,175731.8,173187.4,538708.6,471,31818,0.0359467907908822
15025,"Paonia",562974.8,110072.2,254283.6,927330.6,788.8,40759,0.0288432482986249
16002,"Denver",246967200,436200,61305400,308708800,289289.6,53637,0.0198953557638625
17003,"Dove Creek",233530.4,13640,61086.8,308257.2,360,36688,0.023339238988225
17007,"Rico",129391.8,0,37632.4,167024.2,210.4,31458,0.0252349562830711
18003,"Castle Rock",14546637,33241.4,7836907.2,22416785.6,18300.2,88294,0.0138735086681252
18021,"Larkspur",136682.2,0,79728.2,216410.4,90,44688,0.0538077336197637
19009,"Eagle",1533090.4,50000,1040060.6,2623151,2425.2,78066,0.0138552320676619
19020,"Gypsum",1277957,85118.4,854960.2,2218035.6,2258,88698,0.0110746688123019
19024,"Minturn",856321.75,19646.5,87606.5,963574.75,535,63947,0.0281651101547441
19026,"Red Cliff",257030.8,0,144364.8,401395.6,141.2,68125,0.0417283675962263
