"LG_ID","housingunits","geoname","state","county","place","tract","bg","geonum","b19013001","mhi","FIPS_CLASS_CODE","PLACECE","DOR_CODE","NAME.x","CREATED_ON","CREATED_BY","UPDATED_ON","UPDATED_BY","FEATURE_ID","NAME.y","cost","s5metric"
3033,274.6,"Deer Trail town, Colorado","8","",19630,"","","10819630","36111",36111,"C1","0305","0238","Deer Trail",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412415,"Deer Trail, Town of",251938,0.0254070141382272
3041,15534,"Englewood city, Colorado","8","",24785,"","","10824785","47046",47046,"C1","0395","0281","Englewood",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410441,"Englewood, City of",18179647,0.0248759365883042
3043,2716.2,"Glendale city, Colorado","8","",30340,"","","10830340","37189",37189,"C1","0530","0329","Glendale",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410598,"Glendale, City of",2450356.6,0.0242578913429927
5003,75,"Campo town, Colorado","8","",11645,"","","10811645","",NA,"C1","0170","0178","Campo",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413155,"Campo, Town of",95456.5,NA
5006,76,"Pritchett town, Colorado","8","",61315,"","","10861315","51875",51875,"C1","1075","0543","Pritchett",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412509,"Pritchett, Town of",56239.6,0.0142649587824984
5011,828.8,"Springfield town, Colorado","8","",73330,"","","10873330","33029",33029,"C1","1240","0609","Springfield",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413324,"Springfield, Town of",476894.6,0.0174211667388118
5019,60,"Vilas town, Colorado","8","",81030,"","","10881030","32500",32500,"C1","1315","0648","Vilas",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413433,"Vilas, Town of",24126.3333333333,0.0123724786324786
6005,1214,"Las Animas city, Colorado","8","",43660,"","","10843660","29260",29260,"C1","0780","0424","Las Animas",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411628,"Las Animas, City of",1191537.8,0.0335439974055252
7006,44221,"Boulder city, Colorado","8","",7850,"","","10807850","58484",58484,"C1","0110","0152","Boulder",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2409883,"Boulder, City of",31345400,0.0121201554067984
7018,138.2,"Jamestown town, Colorado","8","",39195,"","","10839195","55313",55313,"C1","0685","0391","Jamestown",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412800,"Jamestown, Town of",78587,0.0102805287828773
7020,10348.6,"Lafayette city, Colorado","8","",41835,"","","10841835","70714",70714,"C1","0735","0415","Lafayette",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411592,"Lafayette, City of",8836014.6,0.0120745073424255
7032,892.4,"Lyons town, Colorado","8","",47070,"","","10847070","85577",85577,"C1","0835","0447","Lyons",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412930,"Lyons, Town of",1334387.75,0.0174729175279573
7033,750.8,"Nederland town, Colorado","8","",53175,"","","10853175","60000",60000,"C1","0935","0489","Nederland",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413037,"Nederland, Town of",894608,0.0198589948499378
7042,101,"Ward town, Colorado","8","",82735,"","","10882735","61250",61250,"C1","1340","0658","Ward",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413449,"Ward, Town of",24230,0.00391675085875934
8002,1408.8,"Buena Vista town, Colorado","8","",10105,"","","10810105","43429",43429,"C1","0155","0168","Buena Vista",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411739,"Buena Vista, Town of",613293.6,0.0100239585078514
8006,369.4,"Poncha Springs town, Colorado","8","",60600,"","","10860600","39643",39643,"C1","1065","0539","Poncha Springs",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412495,"Poncha Springs, Town of",297271.2,0.0202996912577401
8007,2951.4,"Salida city, Colorado","8","",67280,"","","10867280","40801",40801,"C1","1160","0576","Salida",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411766,"Salida, City of",2342052.8,0.019449023512205
