"LG_ID","NAME","CM_FUND_TYPE_ID","EXP_PRINCIPAL","EXP_INTEREST","EXP_OPERATING","EXP_TRANSFER_OUT","rev","housingunits","mhi","s5metric"
1009,"Federal Heights",1,0,0,2762622,185780.2,2948402.2,4882.6,36800,0.0164092133289641
2003,"Alamosa",1,497374.4,211221.4,1337766.2,0,2117221.58,3731.6,27850,0.0203725798185731
3033,"Deer Trail",2,4220,13244.2,66665,14665.4,100541.02,274.6,36111,0.0101391894696782
3033,"Deer Trail",3,9466,27259,77329,4341.8,122068.3,274.6,36111,0.0123101359220497
3041,"Englewood",2,956521.6,584324.8,5677541.2,644120.4,8016592.64,15534,47046,0.0109694236729077
3041,"Englewood",3,3017061.4,1624580.8,9468879,1289614.6,15864300.02,15534,47046,0.0217077549038963
3043,"Glendale",2,277022.2,54527.6,1409064.6,0,1773769.38,2716.2,37189,0.0175598543034787
3043,"Glendale",3,410554.2,206668,666989,0,1345933.42,2716.2,37189,0.0133243898693205
5003,"Campo",1,2450,7395,43856.5,0,54686,75,NA,NA
5003,"Campo",2,2645.5,6543.5,59459,0,69566.9,75,NA,NA
5006,"Pritchett",2,6666.6,0,27136,0,34469.26,76,51875,0.00874299556119214
5006,"Pritchett",3,5700,3096.2,4855.4,210.4,14741.62,76,51875,0.00373915535827521
5011,"Springfield",2,18543.4,8032,215714,12916.8,257863.74,828.8,33029,0.00941987435050349
5011,"Springfield",3,37172.6,4243.8,95762,8332.8,149652.84,828.8,33029,0.00546688320349346
5016,"Two Buttes",1,0,0,10601,6097,16698,37,24375,0.0185147609147609
5019,"Vilas",1,4452.5,8223.5,20557.5,292,34793.1,60,32500,0.0178426153846154
5019,"Vilas",2,3195.66666666667,9480.33333333333,17741.3333333333,0,31684.9333333333,60,32500,0.0162486837606838
5023,"Walsh",1,12066,41153.6,212143.2,0,270684.76,350,34712,0.0222800480690087
6005,"Las Animas",2,48067,41316.4,522896,0,621217.74,1214,29260,0.0174884307143476
6005,"Las Animas",3,86844,20703.6,296986.2,8910.8,424199.36,1214,29260,0.0119419981735078
7006,"Boulder",2,4153000,1461400,12520800,926200,19622840,44221,58484,0.00758745686201931
7006,"Boulder",3,2330000,1474400,8623600,574400,13382840,44221,58484,0.00517466998616442
7018,"Jamestown",2,4515.8,643.4,65498.6,0,71173.72,138.2,55313,0.00931074448756731
7020,"Lafayette",2,802975,643769,3558533.6,888360.2,6038312.2,10348.6,70714,0.00825141744274141
7020,"Lafayette",3,446470.4,185159,1707809.2,311560.6,2714162.14,10348.6,70714,0.00370893125142227
7029,"Louisville",1,967756.4,377316.8,4975140.4,38400,6493120.92,8048.2,91230,0.00884335492599868
7032,"Lyons",1,223690,78688,930028,753248,2015891.8,892.4,85577,0.0263967584884419
7032,"Lyons",2,278360,95272.5,523499.75,0,934495.5,892.4,85577,0.0122365952488302
7032,"Lyons",3,60382.5,186.5,425827.25,0,492453.15,892.4,85577,0.00644834552500411
7033,"Nederland",2,119037.4,32217.4,270923,0,437303.28,750.8,60000,0.00970749600426212
7033,"Nederland",3,104599.6,24273.2,356981.4,0,498741.48,750.8,60000,0.0110713345764518
7042,"Ward",2,0,0,21884.8,2345.2,24230,101,61250,0.00391675085875934
8002,"Buena Vista",2,103116,24573.2,452372.8,0,592830.92,1408.8,43429,0.00968950685976729
8006,"Poncha Springs",2,11800,8953.4,179711.2,0,202539.94,369.4,39643,0.0138307991132717
8006,"Poncha Springs",3,6665.33333333333,194.333333333333,31557.6666666667,71266,110369.3,369.4,39643,0.00753676344810023
8007,"Salida",2,289487.2,145651.6,730794.8,0,1209447.48,2951.4,40801,0.0100435705272302
8007,"Salida",3,125158.2,107457.4,771791.8,0,1027668.96,2951.4,40801,0.00853403380393611
9007,"Cheyenne Wells",2,0,0,250536,0,250536,430.2,43750,0.0133113369197051
9013,"Kit Carson",1,21260,123.75,109323,0,132845.125,146,45000,0.0202199581430746
9013,"Kit Carson",2,12950,0,124862,0,139107,146,45000,0.0211730593607306
10005,"Empire",2,26757,4349,67688.8,0,101905.4,195.6,41250,0.0126300303649997
10005,"Empire",3,4401.4,238.8,94191.8,0,99296.02,195.6,41250,0.0123066270062589
10007,"Georgetown",2,136778.8,25843.2,448657,0,627541.2,758.8,62375,0.0132588043773366
10007,"Georgetown",3,207836,3207.4,380982.6,64056.2,677186.54,758.8,62375,0.0143077201318821
10008,"Idaho Springs",2,173799.6,112077.2,355551.2,0,670015.68,934,46480,0.0154337681100665
10008,"Idaho Springs",3,92390.4,30446.4,397871.6,0,532992.08,934,46480,0.0122774382940142
10009,"Silver Plume",2,4809.2,16718.4,65580.8,1000,90261.16,145,42000,0.0148212085385879
10009,"Silver Plume",3,15585.4,1501.6,103008.8,0,121804.5,145,42000,0.0200007389162562
11001,"Antonito",1,9629.6,885.2,200568.6,0,212134.88,407,21087,0.024717405101528
11009,"La Jara",1,47500,0,208218.4,0,260468.4,355.2,28000,0.0261893098455598
11010,"Manassa",2,27701,3038,73550,0,107362.9,425,33375,0.00756909627671293
11010,"Manassa",3,12540,25773,83702.4,2803.6,128650.3,425,33375,0.00906986032165675
11013,"Romeo",1,20657.6,2600.4,72591.8,0,98175.6,156,20833,0.030208360256841
11016,"Sanford",1,0,0,113035.8,0,113035.8,350,56250,0.00574150095238095
12001,"Blanca",1,6679.2,0,104625.8,0,111972.92,167,30250,0.0221651744444994
13002,"Crowley",2,5866.6,3200,32545.6,0,42518.86,88,27344,0.0176700140300016
13002,"Crowley",3,52472.4,12697.2,129980.4,0,201666.96,88,27344,0.0838088794616735
13004,"Olney Springs",1,11124.3333333333,19917.6666666667,122022.666666667,0,156168.866666667,161,31458,0.0308345400426768
13004,"Olney Springs",2,12690.5,17714.5,107786.5,0,141232,161,31458,0.0278853516213474
13004,"Olney Springs",3,8075,0,18675,0,27557.5,161,31458,0.00544105144234509
13006,"Ordway",2,46520,16017.8,211397,3083.6,283272.18,540.8,27589,0.0189859040917817
13006,"Ordway",3,51854.8,4920.2,54452.4,1643.8,118548.7,540.8,27589,0.00794555345465059
13007,"Sugar City",2,4421.2,12914.2,63814,46400,129282.94,151,32500,0.0263439510952624
13007,"Sugar City",3,18268.2,0,15292.2,0,35387.22,151,32500,0.0072108446255731
15003,"Cedaredge",2,123108.4,109507.6,346578.6,119037,721493.2,1181.8,33030,0.0184833072515143
