"LG_ID","NAME","EXP_PRINCIPAL","EXP_INTEREST","EXP_OPERATING","EXP_TRANSFER_OUT","rev","housingunits","mhi","s5metric"
1009,"Federal Heights",0,0,2762622,185780.2,2948402.2,4882.6,36800,0.0164092133289641
2003,"Alamosa",497374.4,211221.4,1337766.2,0,2117221.58,3731.6,27850,0.0203725798185731
3033,"Deer Trail",13686,40503.2,143994,19007.2,222609.32,274.6,36111,0.0224493253917279
3041,"Englewood",3973583,2208905.6,15146420.2,1933735,23880892.66,15534,47046,0.032677178576804
3043,"Glendale",687576.4,261195.6,2076053.6,0,3119702.8,2716.2,37189,0.0308842441727992
5003,"Campo",2450,7395,43856.5,0,54686,75,NA,NA
5006,"Pritchett",12366.6,3096.2,31991.4,210.4,49210.88,76,51875,0.0124821509194673
5011,"Springfield",55716,12275.8,311476,21249.6,407516.58,828.8,33029,0.014886757553997
5016,"Two Buttes",0,0,10601,6097,16698,37,24375,0.0185147609147609
5019,"Vilas",4452.5,8223.5,20557.5,292,34793.1,60,32500,0.0178426153846154
5023,"Walsh",12066,41153.6,212143.2,0,270684.76,350,34712,0.0222800480690087
6005,"Las Animas",134911,62020,819882.2,8910.8,1045417.1,1214,29260,0.0294304288878554
7006,"Boulder",6483000,2935800,21144400,1500600,33005680,44221,58484,0.0127621268481837
7020,"Lafayette",1249445.4,828928,5266342.8,1199920.8,8752474.34,10348.6,70714,0.0119603486941637
7029,"Louisville",967756.4,377316.8,4975140.4,38400,6493120.92,8048.2,91230,0.00884335492599868
7032,"Lyons",315732,92104.8,945467.2,150649.6,1544737.28,892.4,85577,0.0202273043167559
7033,"Nederland",223637,56490.6,627904.4,0,936044.76,750.8,60000,0.0207788305807139
8006,"Poncha Springs",17998.6666666667,9865,201285.666666667,71266,303201.7,369.4,39643,0.0207046659710794
8007,"Salida",414645.4,253109,1502586.6,0,2237116.44,2951.4,40801,0.0185776043311663
9013,"Kit Carson",21260,123.75,109323,0,132845.125,146,45000,0.0202199581430746
10005,"Empire",31158.4,4587.8,161880.6,0,201201.42,195.6,41250,0.0249366573712586
10007,"Georgetown",344614.8,29050.6,829639.6,64056.2,1304727.74,758.8,62375,0.0275665245092188
10008,"Idaho Springs",266190,142523.6,753422.8,0,1203007.76,934,46480,0.0277112064040807
10009,"Silver Plume",20394.6,18220,168589.6,1000,212065.66,145,42000,0.034821947454844
11001,"Antonito",9629.6,885.2,200568.6,0,212134.88,407,21087,0.024717405101528
11009,"La Jara",47500,0,208218.4,0,260468.4,355.2,28000,0.0261893098455598
11010,"Manassa",40241,28811,157252.4,2803.6,236013.2,425,33375,0.0166389565983697
11013,"Romeo",20657.6,2600.4,72591.8,0,98175.6,156,20833,0.030208360256841
11016,"Sanford",0,0,113035.8,0,113035.8,350,56250,0.00574150095238095
12001,"Blanca",6679.2,0,104625.8,0,111972.92,167,30250,0.0221651744444994
13002,"Crowley",58339,15897.2,162526,0,244185.82,88,27344,0.101478893491675
13004,"Olney Springs",14980.8,19036.4,123798.2,0,161217.12,161,31458,0.0318312852510831
13006,"Ordway",98374.8,20938,265849.4,4727.4,401820.88,540.8,27589,0.0269314575464323
13007,"Sugar City",22689.4,12914.2,79106.2,46400,164670.16,151,32500,0.0335547957208355
15003,"Cedaredge",123108.4,109507.6,590068,230500,1076445.6,1181.8,33030,0.0275765243031266
15005,"Crawford",21580.6,1029.8,147617.6,0,172489.04,212,35192,0.0231196734249208
15015,"Delta",64813.2,98419,2130478.6,469645.6,2779679.62,3857,42314,0.0170318185771378
15020,"Hotchkiss",119678.6,28913.8,189789.4,175731.8,528972.84,471,31818,0.0352971458290044
15025,"Paonia",76450.6,97151.4,562974.8,110072.2,864009.2,788.8,40759,0.0268737297010324
16002,"Denver",34451200,18077200,246967200,436200,305184640,289289.6,53637,0.0196682342274217
17003,"Dove Creek",33320.4,3096.8,233530.4,13640,287229.32,360,36688,0.0217471440858652
17007,"Rico",7926.6,984.8,129391.8,0,139194.34,210.4,31458,0.0210302643853462
18003,"Castle Rock",2866457.6,1562564.6,14546637,33241.4,19451802.82,18300.2,88294,0.0120385125614947
18021,"Larkspur",6469.8,3047.4,136682.2,0,147151.12,90,44688,0.0365872816963042
19009,"Eagle",664703.2,586218.6,1533090.4,50000,2959104.38,2425.2,78066,0.015629705608764
19020,"Gypsum",287599.2,142290,1277957,85118.4,1835953.52,2258,88698,0.00916693004782243
19024,"Minturn",63863.25,29223,856321.75,19646.5,978363.125,535,63947,0.028597371596718
19026,"Red Cliff",67497.6,36969.6,257030.8,0,371944.72,141.2,68125,0.0386667068638407
20004,"Elizabeth",284002.2,172171.6,542509.4,0,1044300.58,531.6,53542,0.0366898517732217
20005,"Kiowa",1173065.2,258791.4,388412,26000,1989454.26,322,58750,0.105164755385225
20006,"Simla",44891.4,5886.2,164215.6,0,220070.96,266,41953,0.0197205071410918
21006,"Calhan",26795.6,16478.4,279636.6,25330.4,352568.4,349.4,45179,0.0223348926884528
21030,"Manitou Springs",234805,30362.4,1399884.8,133798.2,1825367.14,2848.2,49139,0.0130422773638639
21036,"Ramah",2760,5378.4,38077.4,0,47029.64,68,31250,0.0221315952941176
23004,"Carbondale (was 12030 prior to 1990)",162131.6,17849.6,1613036.8,329953,2140969.12,2476.4,62770,0.0137732832638209
23008,"Glenwood Springs",1322638.8,885239.8,2569542.8,6073482.6,11071691.86,4139.8,49538,0.0539878659986447
23012,"New Castle",406996,256279.8,1235366.2,0,1964969.58,1721.6,66818,0.0170816612576626
23013,"Parachute",30886.2,14279.8,562956.6,600,613239.2,538.8,32917,0.0345765831268174
23017,"Rifle",1292728.6,834896.6,3083668.2,116979.8,5541035.72,3633.2,54175,0.0281515767448645
23019,"Silt",292959.2,279293.4,963332.6,68655.4,1661465.86,1085.2,56268,0.0272094747266983
25006,"Fraser",0,0,873641.2,18000,891641.2,1104.8,45938,0.0175684876909151
25008,"Granby",12307.6,7743,1353117,0,1375172.66,1616.6,50125,0.0169707200512883
25015,"Hot Sulphur Springs",89892.2,11430.4,372631.4,0,484086.26,318.8,50250,0.0302181851095838
26004,"Crested Butte",288830.4,64003,751072.4,63120,1202309.14,1087.2,59659,0.0185366280430597
26008,"Gunnison",0,0,1470760.8,82401.8,1553162.6,2670.2,35871,0.0162154740185446
27005,"Lake City",4074.2,414.2,413640.4,0,418577.64,453.8,44821,0.0205792712560592
28007,"La Veta",31888,25533.2,303884.4,0,367047.72,567.4,29792,0.0217136853349952
28010,"Walsenburg",225351.6,386910.6,1188271.4,0,1861759.82,1762,24928,0.0423867690139429
29006,"Walden",50469.8,20369,131249,153124.6,362296.28,377.8,44276,0.0216587576815549
30020,"Edgewater",0,0,1348077,9862.2,1357939.2,2438.4,44148,0.0126143344612502
30035,"Golden",1319000,337928.8,5030988,238780,7092389.68,7852,58998,0.0153099935850075
30055,"Lakewood",0,0,4137564.6,122450.4,4260015,66285,56954,0.00112842223930266
30065,"Morrison",115711.2,29207.6,513451.2,0,672861.88,141,59583,0.0800911345672757
31002,"Eads",27137.8,55164.2,204531.2,20000,315063.4,352,36150,0.0247597919024268
32001,"Bethune",13937,0,41404.4,0,56735.1,84,37500,0.0180111428571429
32004,"Burlington",394800.2,31837.4,668222.6,173095.4,1310619.36,1479.6,42457,0.0208632975750037
32010,"Flagler",18908.8,10355.2,135792.2,8800,176782.6,328,26125,0.0206304819698915
32015,"Seibert",22716.6,2729.6,65023.2,3374,96388.02,122.8,NA,NA
32020,"Stratton",63722.2,25567.8,184354.8,10000,292573.8,346,42632,0.0198346082131038
32023,"Vona",7089,4093.4,26302.2,20,38622.84,61,31250,0.0202611619672131
34005,"Bayfield",238257.4,167154.4,840856.4,26159.6,1312968.98,1004.8,64087,0.0203894211804435
34008,"Durango",33900.4,15352.6,4762070.6,556863.2,5373112.1,7961.2,57024,0.0118355839179307
34015,"Ignacio",25621.2,31456.4,600561.4,23000,686346.76,309.8,48333,0.0458372360449617
35009,"Fort Collins",5572312.8,2133294,25514171.4,3978514.2,37968853.08,62259.6,55647,0.0109592137256152
35026,"Loveland",0,24615.2,12082686.6,2408202.6,14517965.92,29454.6,56277,0.00875833807641769
35047,"Wellington",333314.6,166783.6,1335704.4,0,1885812.42,2355,76917,0.0104108273216004
36001,"Aguilar",33870.2,46505,221106.6,0,309519.32,290,36701,0.0290811694504237
36004,"Cokedale",5634.4,6182.2,67195.4,0,80193.66,94.6,57857,0.0146518676706779
36011,"Trinidad",380249.4,122931.2,2741795.4,456084.4,3751378.46,4365.4,43819,0.0196112092711715
