geoname,geonum,b25077001,b25077_moe001,b19013001,b19013_moe001
2,1080010092032,,,32583,14176
3,1080130125113,,,16250,10816
3,1080590114023,,,32941,11769
1,1080010078011,214700,40709,24135,10980
2,1080010078012,158900,7422,21444,6775
1,1080010078021,136400,6792,25662,14347
2,1080010078022,,,31731,10427
3,1080010078023,127100,34953,19399,2828
1,1080010079001,142900,43797,42470,4742
2,1080010079002,,,24306,5424
3,1080010079003,140100,21367,38598,8089
4,1080010079004,114600,19697,27391,7314
1,1080010080001,175600,35262,51765,30746
2,1080010080002,128800,20538,39750,7841
3,1080010080003,128100,69126,61151,10582
4,1080010080004,183700,29839,51944,14526
5,1080010080005,179200,20694,50469,18887
6,1080010080006,144400,23074,63384,20212
1,1080010081001,,,24706,12289
1,1080010082001,148500,11806,65000,20653
2,1080010082002,145400,10554,42716,4441
3,1080010082003,167400,28155,41898,13248
1,1080010083081,164000,14473,47279,15876
2,1080010083082,19200,8924,39361,7758
3,1080010083083,17400,13439,22089,3185
1,1080010083091,,,51786,50386
2,1080010083092,24200,8428,37308,10557
3,1080010083093,126100,49881,51866,3068
1,1080010083531,,,,
2,1080010083532,188800,43579,65769,22567
3,1080010083533,153500,18443,56518,9293
4,1080010083534,153300,25681,56750,8763
5,1080010083535,135300,27203,48750,12177
1,1080010084011,365800,21605,81250,12973
2,1080010084012,136400,13274,44926,9075
1,1080010084021,281300,17313,79013,8133
2,1080010084022,185900,18926,66290,9547
1,1080010085051,202500,15970,58382,19731
2,1080010085052,166800,17380,60000,18782
3,1080010085053,181200,8398,55583,4432
4,1080010085054,182000,19852,52946,19053
5,1080010085055,182800,11010,56572,21395
6,1080010085056,163700,6524,93556,10871
1,1080010085061,187000,21702,30192,10671
2,1080010085062,157500,29631,53462,7045
3,1080010085063,122800,32170,40105,7093
4,1080010085064,,,26979,6621
1,1080010085071,184600,19722,87337,24379
2,1080010085072,191100,18085,63034,8782
3,1080010085073,180400,9696,82821,38885
4,1080010085074,181500,10896,59735,12853
5,1080010085075,184900,25548,50385,32893
1,1080010085081,194400,11759,70313,18500
2,1080010085082,232300,8914,88214,29459
3,1080010085083,169100,20396,54500,17585
1,1080010085231,326600,62619,100133,7066
2,1080010085232,344300,13892,91538,15609
3,1080010085233,205900,30686,66020,10037
4,1080010085234,,,,
1,1080010085241,225300,20802,96339,16105
2,1080010085242,240800,12165,87420,18821
3,1080010085243,208000,21942,66311,13799
4,1080010085244,321600,34186,75795,23934
5,1080010085245,241200,15029,101000,18290
1,1080010085261,331400,32905,80500,35675
2,1080010085262,303300,24230,91667,14014
3,1080010085263,223200,65136,48955,7934
4,1080010085264,288900,28607,120568,23420
5,1080010085265,321200,29402,141429,12331
1,1080010085291,232200,14685,83917,10446
2,1080010085292,243800,19744,66250,13607
3,1080010085293,,,44758,5664
1,1080010085331,210300,13962,83203,16670
2,1080010085332,191200,20969,59839,8567
1,1080010085341,174900,14129,86950,14008
2,1080010085342,189000,9012,77647,16167
3,1080010085343,209200,21879,83571,14965
1,1080010085351,229200,24497,62625,11510
1,1080010085361,257900,22436,96324,8275
1,1080010085371,256300,16817,91266,12453
1,1080010085381,,,,
2,1080010085382,268100,7993,97069,7299
1,1080010085391,193300,12744,82325,10189
1,1080010085401,291300,14021,95508,11021
1,1080010085411,448300,20337,117348,16021
1,1080010085421,215000,11708,83348,21029
2,1080010085422,245000,16121,84602,12875
1,1080010085431,231700,18282,94123,9691
2,1080010085432,246000,37691,120735,81279
3,1080010085433,207300,19109,63234,26228
4,1080010085434,361400,67740,110398,48757
5,1080010085435,29300,21161,40962,6745
1,1080010085441,297800,17136,110625,11564
1,1080010085451,241100,24633,100346,7614
2,1080010085452,250800,22361,94464,13817
3,1080010085453,308600,27599,140865,32199
4,1080010085454,295900,28021,90446,36674
5,1080010085455,255800,17516,100137,43647
1,1080010085461,161700,8208,53946,4053
2,1080010085462,216200,10800,84471,22104
1,1080010085471,218600,15387,81964,21474
2,1080010085472,198200,30537,72353,13650
1,1080010085481,205800,46729,86250,12403
1,1080010085491,189800,16810,88531,6077
2,1080010085492,223000,7360,93750,30812
1,1080010085501,226900,14447,73125,38531
2,1080010085502,183000,45000,57962,7973
3,1080010085503,239000,21247,96434,16259
4,1080010085504,224700,8330,76458,23737
1,1080010085511,410300,32891,122375,28311
1,1080010086031,118400,12860,38493,2702
1,1080010086041,219400,27458,53375,9557
2,1080010086042,172700,11972,34865,14327
1,1080010086051,178900,15125,43438,8395
2,1080010086052,230100,19640,73494,9202
1,1080010086061,153400,35317,43664,17072
2,1080010086062,171300,20890,60385,24678
3,1080010086063,141200,14545,47528,19324
1,1080010087051,152900,14159,55243,6928
2,1080010087052,96700,42954,29853,8883
3,1080010087053,121500,86111,41446,16650
4,1080010087054,163700,22186,40052,7155
1,1080010087061,117200,21931,28947,18607
2,1080010087062,130700,13430,54844,12630
