geoname,geonum,b25077001,b25077_moe001,b19013001,b19013_moe001
Adams,108001,198800,1960,58946,1016
Alamosa,108003,144300,8037,32395,6782
Arapahoe,108005,247600,1614,63265,942
Archuleta,108007,264200,16744,46646,4453
Baca,108009,73200,12323,38000,3517
Bent,108011,65700,8402,36791,5397
Boulder,108013,368800,4139,70961,1552
Broomfield,108014,295500,5968,81898,2803
Chaffee,108015,274200,13252,51092,2278
Cheyenne,108017,82300,14194,52554,3744
Clear Creek,108019,283900,16465,67710,3884
Conejos,108021,107100,8024,36652,4979
Costilla,108023,102300,8208,31321,5677
Crowley,108025,76100,11509,31151,4231
Custer,108027,220400,23546,35000,5776
Delta,108029,193000,10022,42452,2626
Denver,108031,271300,3336,53637,803
Dolores,108033,119100,16420,31875,3530
Douglas,108035,354700,2211,102964,1796
Eagle,108037,419400,23001,72214,3789
Elbert,108039,337400,10415,84963,4050
El Paso,108041,218300,1845,58206,869
Fremont,108043,158500,5001,40423,1747
Garfield,108045,287500,11393,56590,3065
Gilpin,108047,252800,31507,65670,10178
Grand,108049,282000,20572,63628,6543
Gunnison,108051,319200,22273,48071,3928
Hinsdale,108053,276000,27976,57083,6141
Huerfano,108055,147600,22084,31715,2861
Jackson,108057,158000,33134,46014,3111
Jefferson,108059,279500,1665,70164,712
Kiowa,108061,83600,14281,40304,3948
Kit Carson,108063,122300,10291,40603,5333
Lake,108065,168500,15762,45367,6912
La Plata,108067,332700,7205,60278,1974
Larimer,108069,263400,2806,59805,1055
Las Animas,108071,150600,9727,45067,2870
Lincoln,108073,118300,16796,39005,4134
Logan,108075,124700,7910,42319,3162
Mesa,108077,199000,4494,49322,1601
Mineral,108079,277100,26844,48125,8932
Moffat,108081,175800,7507,51387,3065
Montezuma,108083,180400,11648,43553,2152
Montrose,108085,190900,6628,43999,1949
Morgan,108087,145500,6709,48450,2093
Otero,108089,91900,5973,32311,3221
Ouray,108091,388600,24074,61624,3380
Park,108093,244800,9628,56969,5031
Phillips,108095,132500,12440,43639,4117
Pitkin,108097,620700,96900,71196,11001
Prowers,108099,87400,10755,40179,3470
Pueblo,108101,138600,2586,41286,901
Rio Blanco,108103,204800,15575,61842,7994
Rio Grande,108105,133700,16223,39672,4196
Routt,108107,394600,23739,64963,5211
Saguache,108109,146700,19319,33393,3124
San Juan,108111,223200,45583,36324,2185
San Miguel,108113,512800,75417,56047,6153
Sedgwick,108115,86800,6068,44191,5886
Summit,108117,478800,31249,67983,7621
Teller,108119,239000,10073,62372,3543
Washington,108121,113200,7601,45541,3034
Weld,108123,210100,3024,60572,923
Yuma,108125,136400,12446,43105,4306
