geoname,geonum,b25077001,b25077_moe001,b19013001,b19013_moe001
Acres Green,10800320,246600,10690,84479,9779
Aetna Estates,10800620,25300,18150,55150,40042
Aguilar,10800760,108800,66836,36701,4946
Air Force Academy,10800870,,,65795,8535
Akron,10800925,95700,5296,40972,7509
Alamosa,10801090,146000,10636,27850,5441
Alamosa East,10801145,120400,28467,49200,29375
Allenspark,10801420,308500,53778,46981,37214
Alma,10801530,255800,49648,45000,14337
Alpine,10801640,,,,
Altona,10801740,530600,163333,90114,74621
Amherst,10801915,,,,
Antonito,10802355,81900,6834,21087,3450
Applewood,10802575,365900,18829,77987,11993
Arboles,10802905,243300,34780,40595,1820
Aristocrat Ranchettes,10803015,188600,36446,50403,15203
Arriba,10803235,60000,19553,36071,12403
Arvada,10803455,257300,3783,69938,1853
Aspen,10803620,547100,238573,67164,10152
Aspen Park,10803730,326100,32096,66563,30609
Atwood,10803840,213000,83462,60469,54028
Ault,10803950,151100,14005,50368,7308
Aurora,10804000,189100,1822,53011,1052
Avon,10804110,332400,283026,48022,11935
Avondale,10804165,98500,21390,40667,18763
Bark Ranch,10804620,801500,619308,116985,57382
Basalt,10804935,480800,58413,69583,10932
Battlement Mesa,10805120,201300,92183,71317,8807
Bayfield,10805265,249600,21658,64087,7736
Bennett,10806090,147600,12452,50750,5355
Berkley,10806172,180400,9506,48214,3937
Berthoud,10806255,247100,15906,59477,7577
Bethune,10806530,86000,17524,37500,23241
Beulah Valley,10806602,171500,72548,46250,33621
Black Forest,10806970,423300,23813,105313,8273
Black Hawk,10807025,232100,35340,38500,19775
Blanca,10807190,78100,12758,30250,7878
Blende,10807245,142300,15201,32625,9025
Blue River,10807410,595900,63851,79773,17016
Blue Sky,10807420,,,,
Bonanza,10807571,,,,
Bonanza Mountain Estates,10807580,365400,141851,71635,28436
Boone,10807795,55000,22029,25000,4834
Boulder,10807850,512600,14170,58484,2316
Bow Mar,10808070,950900,46977,172083,33780
Brandon,10808290,,,,
Branson,10808345,,,36875,17058
Breckenridge,10808400,395700,84676,61394,20347
Brick Center,10808530,,,,
Brighton,10808675,203400,5697,61051,3994
Brookside,10809115,152300,23455,47679,8593
Broomfield,10809280,295500,5968,81898,2803
Brush,10809555,139100,14658,44457,9961
Buena Vista,10810105,202000,13293,43429,11086
Burlington,10810600,121300,17187,42457,9117
Byers,10810985,158100,23759,60662,9038
Calhan,10811260,150300,19997,45179,7585
Campo,10811645,32500,8504,,
Cañon City,10811810,148900,7215,38323,3755
Capulin,10811975,113800,94783,23125,8569
Carbondale,10812045,447700,35088,62770,11442
Cascade-Chipita Park,10812325,247800,27954,62891,8840
Castle Pines,10812387,476000,19284,130609,14309
Castle Pines Village,10812393,996700,98846,216384,45647
Castle Rock,10812415,296600,6862,88294,5011
Cathedral,10812450,,,,
Catherine,10812460,1062500,217782,,
Cattle Creek,10812470,68000,16492,46925,43831
Cedaredge,10812635,167000,17774,33030,3164
Centennial,10812815,315100,3522,91941,2466
Center,10812855,82200,8237,25130,3627
Central City,10812910,173600,28847,47132,11595
Chacra,10812945,335900,53321,67292,53817
Cheraw,10813460,81500,38890,36429,12738
Cherry Creek,10813590,478700,21408,104400,14797
Cherry Hills Village,10813845,1223200,53604,237569,41177
Cheyenne Wells,10814175,77000,7833,43750,8615
Cimarron Hills,10814587,159600,3568,52856,2507
City of Creede,10814765,167500,28173,32188,9106
Clifton,10815165,129500,6532,39054,4426
Coal Creek,10815302,340500,13079,93636,19867
Coal Creek,10815330,128100,28565,40625,6483
Coaldale,10815440,233300,17685,40536,35769
Cokedale,10815550,102800,77470,57857,14846
Collbran,10815605,144000,18530,32361,29133
Colona,10815825,,,,
Colorado City,10815935,173100,24927,52697,11951
Colorado Springs,10816000,212700,2246,54527,802
Columbine,10816110,288900,4365,83710,3591
Columbine Valley,10816385,692500,30186,125208,28918
Comanche Creek,10816465,207700,111060,78235,38585
Commerce City,10816495,201000,7862,66053,3225
Conejos,10816715,,,,
Copper Mountain,10817150,,,26595,26191
