geoname,geonum,b25077001,b25077_moe001,b19013001,b19013_moe001
9636,108051963600,309300,25255,58979,7762
9803,108014980300,,,,
9556,108057955600,158000,33134,46014,3111
5,108097000500,484600,189962,65592,20391
28.03,108031002803,310000,76816,52500,2984
2.01,108049000201,280900,25867,60354,9770
20.11,108123002011,360900,30128,139219,21885
120.51,108059012051,338200,8743,90383,9369
6,108069000600,241700,36026,15517,5590
9790,108043979000,194700,27429,41230,5130
109.02,108059010902,224500,19799,33313,3247
133.07,108013013307,225100,8846,36250,8216
14.14,108123001414,203000,16008,86250,20972
85.44,108001008544,297800,17136,110625,11564
14.12,108123001412,259000,22951,86912,11319
9520.02,108045952002,210100,24437,55779,8486
9707.01,108067970701,353500,15582,69375,12041
18,108077001800,246600,19713,56029,6611
9646,108009964600,71400,11835,40652,3891
31.01,108031003101,333100,24223,55139,9313
15,108101001500,116100,13696,35398,4597
56.28,108005005628,266900,13224,72056,5576
9801,108031980100,,,,
45.06,108031004506,137100,31785,26979,7149
29.01,108031002901,363400,25887,65234,14489
28.02,108031002802,351000,64183,45840,7199
18,108041001800,222300,12426,61017,7264
126.08,108013012608,402600,30398,62328,16706
12.02,108123001202,159900,9175,53056,11014
20.14,108123002014,154500,19071,51948,23157
14.09,108123001409,193400,23270,57146,8316
93.26,108001009326,310700,24796,95179,14197
870,108005087000,180200,37873,47250,8117
14.08,108123001408,275200,18785,66667,6066
14.13,108123001413,161700,7000,58995,6942
78.02,108001007802,133700,11683,23531,3904
83.89,108031008389,244700,13008,85568,9253
122.02,108013012202,346900,64792,37008,4999
79,108001007900,131700,13799,35229,3453
85.06,108001008506,161000,12320,34395,3807
85.43,108001008543,223400,10732,76220,9398
93.06,108001009306,180600,8026,62560,17489
94.08,108001009408,313900,25724,107066,12356
94.09,108001009409,277300,23763,90990,13410
56.24,108005005624,342800,16859,106563,14798
56.29,108005005629,598000,23226,145000,20114
61,108005006100,221900,15216,45809,9205
67.13,108005006713,,,65844,4716
68.58,108005006858,282100,97487,62717,6253
72.01,108005007201,150300,16712,31953,8822
76,108005007600,118700,13219,30060,5852
855,108005085500,292400,15529,101765,5807
125.11,108013012511,520200,72310,42374,16067
130.04,108013013004,461800,22513,118207,7643
133.05,108013013305,212000,9930,57750,8104
135.05,108013013505,174700,13395,38321,5182
301,108014030100,238300,10316,65042,16548
9802,108014980200,,,,
3,108015000300,379400,31828,64099,7543
141.08,108035014108,298100,15263,104750,9313
141.15,108035014115,425400,17221,101352,6998
141.29,108035014129,363800,14706,120278,23234
74,108041007400,421800,32405,137868,23588
9802,108043980200,,,,
1,108049000100,238300,21524,54556,7952
120.41,108059012041,257200,13429,90500,13176
18.04,108069001804,199500,16324,50145,4464
83.87,108031008387,169500,8137,56458,14934
100,108059010000,418400,49312,37453,2965
9652,108029965200,187600,19328,39464,5649
2.01,108031000201,194600,9305,47969,5170
3.02,108031000302,350500,16663,82885,18381
11.01,108031001101,244700,24793,43750,6225
33,108031003300,554600,37838,116698,4738
40.06,108031004006,791000,114056,66923,14027
46.03,108031004603,174700,20758,44032,5266
68.13,108031006813,187500,53786,40445,6792
18.08,108069001808,335600,22859,75000,10143
7.03,108037000703,617900,305028,72661,11018
6,108037000600,446700,91810,64323,11934
16,108041001600,320700,49553,31811,7751
105.02,108059010502,287100,24126,54440,19920
114.02,108059011402,165200,61348,34654,7483
118.04,108059011804,250200,16210,68558,8785
16.07,108069001607,287200,21189,84583,10140
2.02,108041000202,197400,6077,52689,5012
3.01,108041000301,136700,8915,39269,8715
47.05,108041004705,215700,8917,71875,10516
52.02,108041005202,108400,16109,34549,8305
64,108041006400,140100,5733,43798,11007
24.02,108069002402,283300,29205,56055,11428
120.58,108059012058,344800,31614,93851,17509
17.06,108077001706,138300,13160,36272,5952
120.01,108031012001,395100,24764,71406,7745
52,108031005200,290700,11673,82976,8774
68.04,108031006804,362000,18642,83274,9657
68.11,108031006811,298200,22555,60069,8623
83.06,108031008306,173300,20534,38750,7842
9696,108083969600,148400,21234,45285,5731
9638,108051963800,433100,40781,62238,8119
98.24,108059009824,239600,11135,85350,5705
98.30,108059009830,163400,12977,57359,6484
4,108077000400,156000,22997,40159,6850
20.06,108123002006,376700,64781,89000,56333
22.07,108123002207,267000,12400,79595,9086
153,108031015300,260100,19218,42231,5589
14,108041001400,169500,9348,44136,3457
9662.01,108085966201,216900,33232,43132,9518
809,108005080900,185900,9011,66734,14027
821,108005082100,192700,9297,51208,3779
834,108005083400,205300,15233,68670,10556
9619,108065961900,175300,55450,52545,12285
1,108069000100,246400,33230,29583,5005
5.04,108069000504,220200,8564,32500,16586
11.13,108069001113,297600,13765,89653,12718
852,108005085200,394400,20679,124940,26410
613,108013061300,499800,32652,155000,13932
862,108005086200,245600,7837,96806,8123
869,108005086900,219800,20557,43793,12008
19,108041001900,134800,16909,33726,7368
9683,108089968300,114900,10627,39583,3330
3,108099000300,102600,9847,42656,4868
6,108101000600,72600,9582,20767,5353
130.05,108013013005,405500,32721,81250,17488
133.02,108013013302,270500,15479,51613,7320
300,108014030000,220900,7977,53705,4457
20,108031002000,372100,27932,69638,12427
9800,108031980000,124200,8705,45125,9357
7,108099000700,98900,14911,38897,6462
22,108101002200,78900,5402,29397,6026
29.16,108101002916,96100,10804,34943,2966
17.01,108031001701,496900,58733,81961,11344
36.03,108031003603,270400,17054,63793,13173
9601,108003960100,154800,12239,45872,3700
49.51,108005004951,111800,12433,35707,2328
58,108005005800,290600,24229,67596,7384
60,108005006000,218700,11468,40417,5700
66.04,108005006604,258800,30271,41764,6308
124.01,108013012401,689700,99358,18329,4694
73.02,108005007302,138600,23262,27433,4829
802,108005080200,245600,8385,72950,4067
3,108107000300,254400,42237,68500,13364
1,108123000100,75800,9429,19492,6027
5.01,108123000501,99600,38056,28333,6648
7.04,108123000704,172800,16898,66310,14034
9,108123000900,139600,5455,49746,8879
37.03,108031003703,384600,39970,57792,7699
56.20,108005005620,189100,8262,49747,3474
806,108005080600,148700,14986,45464,5504
9727,108023972700,99200,10882,28977,11417
41.01,108031004101,185200,16472,33288,5654
139.05,108035013905,316500,17106,97750,8732
141.30,108035014130,317800,17163,111203,8224
141.38,108035014138,264000,12543,80529,8089
21,108101002100,68800,6428,26480,5309
139.08,108035013908,373400,12803,116506,8080
23,108041002300,126300,45830,18533,5731
3.01,108037000301,372100,59620,72217,11724
140.07,108035014007,312400,52866,60417,16419
4,108041000400,182000,11188,48345,5063
132.11,108013013211,380000,27117,92188,18024
85.36,108001008536,257900,22436,96324,8275
41.06,108031004106,466400,20371,137012,12538
13.02,108031001302,145500,17245,47333,7277
9647,108009964700,76800,17129,35147,4552
129.04,108013012904,298700,22558,76667,4365
45.03,108031004503,124100,41899,34861,8762
37.02,108031003702,424200,37158,41455,3284
13.02,108077001302,208300,13804,54477,8368
27,108101002700,109900,5343,36963,5651
9646,108029964600,202500,20247,44063,6143
83.05,108031008305,124400,10326,46149,6005
83.91,108031008391,176600,19801,73101,8293
157,108031015700,234800,11223,41650,6003
116.02,108059011602,225200,12430,40433,10417
92.06,108001009206,201700,13044,72574,14910
93.18,108001009318,114500,42256,35829,5727
93.25,108001009325,336900,34120,69851,7166
9701,108027970100,220400,23546,35000,5776
3.03,108031000303,403900,31393,94010,16435
50.01,108031005001,249400,19875,56761,9655
67.01,108031006701,372300,58953,61776,6871
70.13,108031007013,211600,21409,56940,5858
9650,108029965000,228900,13120,42178,4990
8,108031000800,137500,113589,9849,2999
19.03,108069001903,316800,33047,67634,7356
120.23,108059012023,269300,10492,82727,13684
141.07,108035014107,332300,17545,116169,9797
9612.08,108039961208,350800,37140,74519,6086
24.01,108069002401,286400,43337,48558,12153
9,108041000900,288600,17592,56080,9586
33.08,108041003308,169900,31739,46637,8730
141.10,108035014110,369800,41927,71771,6724
140.09,108035014009,260600,11236,101458,3577
28,108041002800,122600,16299,36282,2256
1,108071000100,131500,25413,42292,9316
9639,108051963900,339700,85316,61250,11891
140.11,108035014011,403900,34327,85977,10007
140.12,108035014012,348500,19285,118550,17968
9659,108075965900,143300,36271,60972,7177
117.11,108059011711,255500,11731,61824,7930
117.27,108059011727,286000,10044,78087,9614
118.03,108059011803,191100,10337,52891,7888
141.13,108035014113,347700,8007,122455,6907
94.11,108001009411,269100,9504,71523,6274
9664,108075966400,119400,10500,50947,3292
3,108077000300,175700,13189,29420,7862
5,108077000500,177600,15509,21875,3330
10.01,108077001001,258400,15382,50391,11627
17.03,108077001703,165400,7945,50043,8090
17.05,108077001705,117400,8576,34415,3248
85.42,108001008542,228800,7235,83900,10775
6,108081000600,156400,16209,45240,7314
4,108087000400,134700,10279,40291,6594
87.06,108001008706,129900,12024,47610,7578
91.01,108001009101,152700,9755,55985,8735
56.34,108005005634,224400,13996,63843,6708
93.22,108001009322,59700,55475,47804,5347
19,108077001900,285200,16972,62232,8199
85.47,108001008547,208700,12712,75652,7839
85.49,108001008549,204100,11200,88698,6843
6,108087000600,129900,13349,53179,6407
19.05,108123001905,145400,13985,48706,3535
20.12,108123002012,327800,14274,116010,4359
20.20,108123002020,262800,14129,84219,10586
22.05,108123002205,190500,12746,60635,9043
85.08,108001008508,204500,7961,68631,4495
94.07,108001009407,191400,9270,57222,7275
9676,108091967600,388600,24074,61624,3380
68.57,108005006857,728200,47526,132083,42445
827,108005082700,190500,10181,68790,10900
845,108005084500,211500,13071,49154,7860
102.13,108059010213,212500,9631,47023,6279
2,108093000200,248700,16250,72283,10825
47.01,108041004701,202000,8275,65724,6559
51.08,108041005108,211900,6797,83410,10311
61,108041006100,136700,11655,35050,5783
141.14,108035014114,246600,10690,75500,12813
9617,108073961700,118900,23320,39000,9368
5,108093000500,226200,47245,36149,6269
1,108101000100,124100,15822,41250,6357
25,108101002500,87600,5597,31796,4577
101.04,108119010104,216200,23023,49233,5785
14.02,108031001402,163700,17440,36667,9479
107.01,108059010701,244000,14524,52835,3882
68.02,108041006802,235900,12577,81351,7575
94.10,108001009410,352600,14821,114318,8709
28.06,108101002806,191400,30211,66295,8425
29.15,108101002915,160700,10545,58125,10580
32,108101003200,158100,18122,47614,9799
19,108101001900,101700,25231,27688,5000
2.02,108031000202,251500,18680,52102,9946
17,108041001700,172400,16844,36538,9235
120.39,108059012039,225500,5892,79878,5157
811,108005081100,164200,12044,36860,4686
93.20,108001009320,51600,12990,39844,5990
36,108101003600,89500,9429,30438,10987
